case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
26,3,routed,41688,95664,99203,2.379653617347918,12,12,0,1.7757603786885738,0.12801500409841537,True,41688
26,4,legacy,42226,172128,99203,2.3493345332259743,12,12,0,0.878483708947897,0.05872683227062225,True,42226
26,4,routed,42226,172128,99203,2.3493345332259743,12,12,0,1.2629646472632885,0.05885971710085869,True,42226
26,5,legacy,38198,835212,99203,2.5970731451908478,12,12,0,1.948196653276682,0.08439256809651852,True,38842
26,5,routed,38198,835212,99203,2.5970731451908478,12,12,0,1.8659618645906448,0.0880505945533514,True,38842
27,2,legacy,1120962,1744896,2363952,2.10886006840553,12,11,1,3.2759926598519087,0.24433531612157822,True,1120962
27,2,routed,1120962,1744896,2363952,2.10886006840553,12,11,1,4.29897054284811,0.27527703531086445,True,1120962
27,3,legacy,744579,18481152,2363952,3.174884062000137,12,11,1,5.386551341041923,0.4055791608989239,True,744579
27,3,routed,744579,18481152,2363952,3.174884062000137,12,11,1,5.8683422319591045,0.42437308095395565,True,744579
27,4,legacy,559196,3317760,2363952,4.227412213249022,12,9,3,2.7923399340361357,0.2300898525863886,True,559196
27,4,routed,559196,3317760,2363952,4.227412213249022,12,9,3,2.8520091213285923,0.2402983196079731,True,559196
27,5,legacy,499622,21954560,2363952,4.731480999635725,12,10,2,11.894773870706558,0.6355853658169508,True,502641
27,5,routed,499622,21954560,2363952,4.731480999635725,12,10,2,11.511665808036923,0.530357463285327,True,502641
28,2,legacy,20517451,75738432,43836040,2.136524658935459,12,10,2,172.90247163921595,15.685040043666959,True,20517451
28,2,routed,20517451,75738432,43836040,2.136524658935459,12,10,2,177.16737578064203,12.208563985303044,True,20517451
28,3,legacy,13687852,44350128,43836040,3.202550699700727,12,10,2,178.12546986714005,10.6253272742033,True,13777051
28,3,routed,13687852,44350128,43836040,3.202550699700727,12,10,2,181.69247012771666,11.416004987433553,True,13777051
28,4,legacy,10347838,74883456,43836040,4.23625108935799,12,10,2,152.97907636873424,8.932549739256501,True,10347838
28,4,routed,10347838,74883456,43836040,4.23625108935799,12,10,2,167.6048848796636,8.737800253555179,True,10347838
28,5,legacy,8286707,73953792,43836040,5.2899227642536415,12,10,2,167.68739411979914,8.817518526688218,True,8379068
28,5,routed,8286707,73953792,43836040,5.2899227642536415,12,10,2,171.5969411507249,9.358781833201647,True,8379068
29,2,legacy,18880,16388,37555,1.9891419491525424,12,9,3,1.616896467283368,0.11463916674256325,True,18880
29,2,routed,18880,16388,37555,1.9891419491525424,12,9,3,1.4672999121248722,0.11968560516834259,True,18880
29,3,legacy,12743,0,37555,2.9471082162756024,12,9,3,1.8544141240417957,0.1640930026769638,True,12743
29,3,routed,12743,0,37555,2.9471082162756024,12,9,3,2.0750990621745586,0.1827138140797615,True,12743
29,4,legacy,10168,49164,37555,3.693450039339103,12,9,3,2.278022913262248,0.18929691426455975,True,10168
29,4,routed,10168,49164,37555,3.693450039339103,12,9,3,3.1605961676687,0.1820855513215065,True,10168
